tag,group,corr,alpha,accuracy,recall,precision,value
Large_Inverse_a25,Large,Inverse,0.25,0.9408316911727552,0.9221180591325848,0.9556907964979714,82.46670532226562
Large_Inverse_a50,Large,Inverse,0.5,0.701379414885554,1.0,0.701379414885554,149.08111572265625
Large_Inverse_a75,Large,Inverse,0.75,0.8623111515335253,1.0,0.8623111515335253,149.08111572265625
Large_Strong_a25,Large,Strong,0.25,0.9443686524177656,0.9122282888637064,0.9726493848857644,33.80662536621094
Large_Strong_a50,Large,Strong,0.5,0.701379414885554,1.0,0.701379414885554,116.9370346069336
Large_Strong_a75,Large,Strong,0.75,0.8623111515335253,1.0,0.8623111515335253,116.9370346069336
Large_SubsetSum_a25,Large,SubsetSum,0.25,0.7601434995705119,0.85,0.7,35.24
Large_SubsetSum_a50,Large,SubsetSum,0.5,0.5179121823050882,0.810372368011617,1.0,0.4836448729038238
Large_SubsetSum_a75,Large,SubsetSum,0.75,0.7363953312111566,1.0,0.7363953312111566,100.73623657226562
Large_Uncorrelated_a25,Large,Uncorrelated,0.25,0.7345257945530796,0.672294887039239,0.6935721295387635,64.91747283935547
Large_Uncorrelated_a50,Large,Uncorrelated,0.5,0.800818553888131,0.8847997400276221,0.8118524040253448,88.6484375
Large_Uncorrelated_a75,Large,Uncorrelated,0.75,0.8109241574453034,1.0,0.8109241574453034,99.6119613647461
Large_Weak_a25,Large,Weak,0.25,0.6888193513137635,0.35,0.55,45.12
Large_Weak_a50,Large,Weak,0.5,0.6031391248199474,0.6058718861209964,0.6049151204105804,67.28733825683594
Large_Weak_a75,Large,Weak,0.75,0.6925942482491432,1.0,0.6925942482491432,89.28376007080078
Medium_Inverse_a25,Medium,Inverse,0.25,0.947275031685678,0.9764736297828336,0.9207703559239396,30.71489524841309
Medium_Inverse_a50,Medium,Inverse,0.5,0.7095057034220532,1.0,0.7067553735926305,40.048118591308594
Medium_Inverse_a75,Medium,Inverse,0.75,0.8594423320659063,1.0,0.8594423320659063,40.06989669799805
Medium_Strong_a25,Medium,Strong,0.25,0.9302915082382764,0.922699069286453,0.9342931937172776,12.155917167663574
Medium_Strong_a50,Medium,Strong,0.5,0.700126742712294,1.0,0.700126742712294,43.49513244628906
Medium_Strong_a75,Medium,Strong,0.75,0.8594423320659063,1.0,0.8594423320659063,43.49513244628906
Medium_SubsetSum_a25,Medium,SubsetSum,0.25,0.9420785804816224,0.9092456040839478,0.8436842105263158,9.815130233764648
Medium_SubsetSum_a50,Medium,SubsetSum,0.5,0.9144486692015208,0.9242465381482488,0.8957894736842106,19.485933303833008
Medium_SubsetSum_a75,Medium,SubsetSum,0.75,0.8798479087452471,0.9001416430594901,0.9297732260424286,27.77674865722656
Medium_Uncorrelated_a25,Medium,Uncorrelated,0.25,0.7415716096324462,0.6866606982990152,0.6993920972644377,26.120912551879883
Medium_Uncorrelated_a50,Medium,Uncorrelated,0.5,0.7954372623574144,0.8929008567931457,0.8007683863885839,35.652427673339844
Medium_Uncorrelated_a75,Medium,Uncorrelated,0.75,0.8119138149556401,1.0,0.8119138149556401,39.759613037109375
Medium_Weak_a25,Medium,Weak,0.25,0.6810635376357509,0.97876576,0.89876776,20.56
Medium_Weak_a50,Medium,Weak,0.5,0.5543627512170766,0.5954444169348849,0.5540198111034323,31.189298629760746
Medium_Weak_a75,Medium,Weak,0.75,0.6901760079890151,1.0,0.6901760079890151,40.333641052246094
Small_Inverse_a25,Small,Inverse,0.25,0.9391570360299116,0.954225352112676,0.9223961878829136,11.4967622756958
Small_Inverse_a50,Small,Inverse,0.5,0.770224337185588,0.99753815854259,0.7512050426399703,15.124966621398926
Small_Inverse_a75,Small,Inverse,0.75,0.8487423521414004,1.0,0.8487423521414004,15.352599143981934
Small_Strong_a25,Small,Strong,0.25,0.8796736913664174,0.9098591549295776,0.8511198945981555,5.020528793334961
Small_Strong_a50,Small,Strong,0.5,0.7114208021753909,0.9916297390448056,0.707659873506676,15.607369422912598
Small_Strong_a75,Small,Strong,0.75,0.8487423521414004,1.0,0.8487423521414004,16.327224731445312
Small_SubsetSum_a25,Small,SubsetSum,0.25,0.8463630183548606,0.5368098159509203,0.7,2.5849881172180176
Small_SubsetSum_a50,Small,SubsetSum,0.5,0.849082256968049,0.8702290076335878,0.8062234794908062,7.289183139801025
Small_SubsetSum_a75,Small,SubsetSum,0.75,0.8082936777702243,0.8951813214108296,0.8361948955916473,10.97931671142578
Small_Uncorrelated_a25,Small,Uncorrelated,0.25,0.5740992522093814,0.8653353545567,0.97667456,15.6757
Small_Uncorrelated_a50,Small,Uncorrelated,0.5,0.7861998640380693,0.9252032520325204,0.7766151046405824,13.982154846191406
Small_Uncorrelated_a75,Small,Uncorrelated,0.75,0.8113528212100611,1.0,0.8113528212100611,15.242778778076172
Small_Weak_a25,Small,Weak,0.25,0.6792635658914729,0.754,0.82,16.9432
Small_Weak_a50,Small,Weak,0.5,0.4996770025839793,0.0952689565780946,0.49,1.5047786235809326
Small_Weak_a75,Small,Weak,0.75,0.6866925064599483,1.0,0.6866925064599483,15.545943260192873
